,东城区,西城区,朝阳区,丰台区,石景山区,海淀区,顺义区,通州区,大兴区,房山区,门头沟区,昌平区,平谷区,密云区,怀柔区,延庆区
东城区,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
西城区,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
朝阳区,1,1,2,1,0,1,1,1,1,0,0,1,0,0,0,0
丰台区,1,1,1,2,1,1,0,0,1,1,1,0,0,0,0,0
石景山区,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0
海淀区,0,1,1,1,1,2,0,0,0,0,1,1,0,0,0,0
顺义区,0,0,1,0,0,0,2,1,0,0,0,1,1,1,1,0
通州区,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1
大兴区,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0
房山区,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0
门头沟区,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0
昌平区,0,0,1,0,0,1,1,0,0,0,1,2,0,0,1,1
平谷区,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
密云区,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
怀柔区,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1
延庆区,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2
